Date,Open,High,Low,Close,Adj Close,Volume
2017-06-14,78.650002,79.250000,78.349998,78.550003,77.991180,674467
2017-06-15,78.449997,78.500000,76.599998,77.800003,77.246513,734225
2017-06-16,78.949997,80.050003,78.650002,78.699997,78.140106,1193995
2017-06-19,80.000000,80.250000,78.849998,80.150002,79.579796,476008
2017-06-20,80.599998,80.699997,79.599998,79.800003,79.232285,483617
2017-06-21,79.500000,80.400002,78.349998,79.849998,79.281929,575976
2017-06-22,79.500000,80.449997,79.349998,80.400002,79.828018,403710
2017-06-23,80.099998,80.550003,79.000000,79.550003,78.984062,394495
2017-06-26,79.699997,80.150002,78.900002,79.349998,78.785484,339181
2017-06-27,79.050003,79.099998,77.599998,77.699997,77.147224,492027
2017-06-28,77.050003,77.300003,76.050003,77.199997,76.650780,836612
2017-06-29,77.150002,77.250000,74.750000,75.199997,74.665009,878511
2017-06-30,75.500000,76.449997,74.949997,75.150002,74.615364,628607
2017-07-03,75.400002,76.500000,75.150002,75.949997,75.409668,606390
2017-07-04,75.750000,76.000000,74.000000,74.400002,73.870705,630840
2017-07-05,74.250000,75.449997,73.550003,75.250000,74.714653,595047
2017-07-06,75.750000,75.900002,74.599998,75.400002,74.863586,556212
2017-07-07,75.300003,75.500000,74.199997,75.400002,74.863586,392424
2017-07-10,75.900002,77.949997,75.500000,77.900002,77.345802,578377
2017-07-11,78.099998,78.750000,76.949997,77.949997,77.395439,1084082
2017-07-12,79.000000,81.099998,78.650002,80.800003,80.225174,998452
2017-07-13,81.300003,81.900002,80.800003,81.400002,80.820900,1002437
2017-07-14,81.349998,81.449997,80.699997,81.449997,80.870544,394247
2017-07-17,81.250000,81.849998,81.000000,81.750000,81.168411,515876
2017-07-18,81.550003,81.699997,80.699997,81.449997,80.870544,471442
2017-07-19,81.949997,84.199997,81.849998,84.199997,83.600975,837261
2017-07-20,84.699997,85.900002,84.500000,85.699997,85.090309,1244072
2017-07-21,85.500000,86.500000,84.300003,85.150002,84.544228,842833
2017-07-24,85.699997,87.000000,85.199997,87.000000,86.381065,720211
2017-07-25,87.000000,87.349998,85.599998,86.500000,85.884621,842069
2017-07-26,86.900002,90.099998,86.550003,90.099998,89.459007,1230670
